lambda,complexity,welfare
0.0,130.0,-0.6023771021534462
0.01,125.0,-0.6280113413770714
0.03,120.0,-0.6763227213556982
0.05,90.0,-0.7165431589524965
0.1,60.0,-0.7808457821575014
