date,actual_adjustment,oil_change,theoretical_adjustment,price
2026-05-08,320,-0.0037041451584804,-37.041451584804,101.29
2026-04-21,-555,-0.0166213890213806,-166.213890213806,93.24
2026-04-07,420,0.0124761691151731,124.761691151731,109.27
2026-03-23,1160,-0.0030679799773938,-30.679799773938,95.92
2026-03-09,695,0.0354460760277681,354.460760277681,98.96
2026-02-24,175,0.0028462449793393,28.462449793393002,70.77
2026-02-03,205,0.0047119554615167,47.119554615167004,67.33
2026-01-20,85,0.0055137765419615,55.137765419615,64.19
2026-01-06,0,0.0003748492454123,3.748492454123,60.7
2025-12-22,-170,-0.0014955052671368,-14.955052671368,61.58
2025-12-08,-55,-0.0013950096699534,-13.950096699534,62.49
2025-11-24,-70,-0.0010861694424327,-10.861694424327,63.37
2025-11-10,125,-0.0024190922201374,-24.190922201374,64.06
2025-10-27,-265,0.0036823567082933,36.823567082932996,65.62
2025-10-13,-75,-0.0071090047393362,-71.090047393362,63.32
2025-09-23,0,0.0008641368315975,8.641368315975,66.97
2025-09-09,0,-0.0012288831968729,-12.288831968729,66.39
2025-08-26,-180,0.0016536380036078,16.536380036078,67.22
2025-08-12,0,-0.0092489397733357,-92.48939773335701,66.12
2025-07-29,0,0.0055325034578148,55.325034578148,72.51
2025-07-15,-130,0.0023139778725862,23.139778725862,68.71
2025-07-01,235,-0.0109556289993673,-109.55628999367299,67.11
2025-06-17,260,0.0136011503022479,136.011503022479,74.9
2025-06-03,65,0.0013552246245871,13.552246245871,65.63
2025-05-19,-230,0.00716446924922,71.64469249220001,64.8
2025-04-30,0,-0.0023521556368272,-23.521556368271998,63.12
2025-04-17,-480,-0.0033449947830357,-33.449947830357004,67.96
2025-04-02,230,0.0063470739029705,63.470739029705,74.95
2025-03-19,-280,0.0014569555342884,14.569555342884,70.32
2025-03-05,-135,-0.0086606572310369,-86.606572310369,69.3
2025-02-19,-170,0.0014100807470769,14.100807470769,75.67
2025-02-06,0,-0.0042652544804735,-42.652544804735,74.29
2025-01-16,340,0.0068578154787037,68.578154787037,81.29
2025-01-02,70,0.0037275361530193,37.275361530193,75.93
2023-01-17,-205,0.0046963941036894,46.963941036894006,85.92
2023-02-03,210,-0.008977352323138,-89.77352323138,79.94
2023-02-17,0,0.0036285588929338,36.285588929338,83.0
2023-03-03,0,0.0034035286052749,34.035286052749,85.83
2023-03-17,-100,-0.0158973471456476,-158.973471456476,72.97
2023-03-31,-335,0.0089006400607338,89.006400607338,79.77
2023-04-17,550,0.0058756343683397,58.756343683397,84.76
2023-04-28,-160,-0.0082432300798753,-82.432300798753,79.54
2023-05-16,-380,-0.0005461641956068,-5.461641956068,74.91
2023-05-30,100,-0.0017913648369465,-17.913648369465,73.54
2023-06-13,-55,0.0010011346192353,10.011346192353,74.29
2023-06-28,70,0.0011081146030813,11.081146030813,74.03
2023-07-12,155,0.0079695897234237,79.69589723423701,80.11
2023-07-26,275,0.0034862658494827,34.862658494827,82.92
2023-08-09,240,0.0054553381013535,54.553381013535,87.55
2023-08-23,55,-0.0050895956468712,-50.895956468712,83.21
2023-09-06,0,0.0085803522704845,85.80352270484501,90.6
2023-09-20,385,0.0031773572629181,31.773572629181,93.53
2023-10-10,-85,-0.0069689874536138,-69.68987453613799,87.65
2023-10-24,-70,0.0004688651231328,4.688651231328,88.07
2023-11-07,-140,-0.0073996013837024,-73.996013837024,81.61
2023-11-21,-340,0.0010381777508621,10.381777508621001,82.45
2023-12-05,-55,-0.0064742079885559,-64.74207988555901,77.2
2023-12-19,-415,0.0026850786344456,26.850786344455997,79.23
2024-01-17,-50,-0.0004760373110324,-4.760373110324,77.88
2024-01-31,200,0.0047492683894649,47.492683894649,81.71
2024-02-19,0,0.0068569880956776,68.569880956776,83.56
2024-03-04,125,-0.0009142857142856,-9.142857142856,82.8
2024-03-18,0,0.0049172838318745,49.17283831874501,86.89
2024-04-01,200,0.0024092478050363,24.092478050363,87.42
2024-04-16,200,0.0012213265827281,12.213265827280999,90.02
2024-04-29,-70,-0.0019235991671947,-19.235991671946998,88.4
2024-05-15,-235,-0.000828779052309,-8.287790523089999,82.75
2024-05-29,0,0.0010249731698199,10.249731698199001,83.6
2024-06-13,-190,0.0011077780958663,11.077780958663,82.75
2024-06-27,210,0.0042963032906848,42.963032906848,86.39
2024-07-11,110,-0.0011479059412827,-11.479059412827,85.4
2024-07-25,-145,-0.0036202879502958,-36.202879502958005,82.37
2024-08-08,-305,-0.0040629311326844,-40.629311326844,79.16
2024-08-22,0,-0.00244578920827,-24.4578920827,77.22
2024-09-05,-100,-0.0058182845693441,-58.182845693440996,72.69
2024-09-20,-365,0.004755566647256,47.55566647256,74.49
2024-10-10,140,0.0103562276776825,103.562276776825,79.4
2024-10-23,90,-0.0021349780571696,-21.349780571695998,74.96
2024-11-06,-145,-5.424832169265148e-05,-0.5424832169265148,74.92
2024-11-20,0,-0.0028879186455524,-28.879186455524,72.81
2024-12-04,0,-0.0006825659017377,-6.825659017377,72.31
2024-12-18,0,0.0014827628815023,14.827628815023001,73.39
