date,price,oil_change,theoretical_adjustment,actual_adjustment
2023-02-03,85.20615384615385,0.0,0.0,210
2023-02-17,84.637,-0.5691538461538528,-68.29846153846233,0
2023-03-03,83.432,-1.2049999999999983,-144.5999999999998,0
2023-03-17,79.60800000000002,-3.823999999999984,-458.87999999999806,-100
2023-03-31,77.079,-2.529000000000025,-303.480000000003,-335
2023-04-17,85.426,8.347000000000008,1001.640000000001,550
2023-04-28,81.08333333333333,-4.342666666666673,-521.1200000000008,-160
2023-05-16,75.40916666666665,-5.674166666666679,-680.9000000000015,-380
2023-05-30,76.34099999999998,0.93183333333333,111.8199999999996,100
2023-06-13,74.99,-1.3509999999999849,-162.11999999999819,-55
2023-06-28,74.82272727272726,-0.16727272727273146,0.0,70
2023-07-12,76.898,2.0752727272727327,228.96000000000015,155
2023-07-26,80.883,3.9849999999999994,478.19999999999993,275
2023-08-09,85.33399999999997,4.450999999999979,534.1199999999975,240
2023-08-23,84.838,-0.4959999999999809,-59.51999999999771,55
2023-09-06,86.866,2.028000000000006,243.3600000000007,0
2023-09-20,92.50800000000001,5.64200000000001,677.0400000000012,385
2023-10-10,90.925,-1.5830000000000126,-189.96000000000151,-85
2023-10-24,89.62,-1.3049999999999926,-156.5999999999991,-70
2023-11-07,86.656,-2.9639999999999986,-355.67999999999984,-140
2023-11-21,80.995,-5.661000000000001,-679.3200000000002,-340
2023-12-05,80.566,-0.42900000000000205,-51.480000000000246,-55
2023-12-19,75.80600000000001,-4.759999999999991,-571.1999999999989,-415
2024-01-17,78.17526315789473,2.3692631578947214,284.31157894736657,-50
2024-01-31,81.02700000000002,2.851736842105282,342.20842105263387,200
2024-02-19,80.91538461538462,-0.11161538461539067,0.0,0
2024-03-04,83.049,2.133615384615382,242.63999999999896,125
2024-03-18,83.585,0.5359999999999872,64.31999999999846,0
2024-04-01,86.50333333333332,2.9183333333333223,350.1999999999987,200
2024-04-16,90.06181818181818,3.5584848484848663,427.01818181818396,200
2024-04-29,88.00444444444446,-2.057373737373723,-246.88484848484677,-70
2024-05-15,83.59666666666666,-4.407777777777795,-528.9333333333354,-235
2024-05-29,83.014,-0.5826666666666682,-69.92000000000019,0
2024-06-13,80.56,-2.4539999999999935,-294.4799999999992,-190
2024-06-27,85.088,4.527999999999992,543.359999999999,210
2024-07-11,86.14500000000001,1.0570000000000164,126.84000000000196,110
2024-07-25,83.39200000000001,-2.753,-330.36,-145
2024-08-08,78.686,-4.706000000000003,-564.7200000000004,-305
2024-08-22,79.126,0.4399999999999977,52.79999999999973,0
2024-09-05,77.405,-1.7210000000000036,-206.52000000000044,-100
2024-09-20,72.3409090909091,-5.064090909090908,-607.6909090909089,-365
2024-10-10,75.36428571428573,3.0233766233766346,362.80519480519615,140
2024-10-23,75.30777777777779,-0.05650793650794128,0.0,90
2024-11-06,73.731,-1.5767777777777923,-195.99428571428803,-145
2024-11-20,72.852,-0.8789999999999907,-105.47999999999888,0
2024-12-04,73.203,0.3509999999999991,0.0,0
2024-12-18,72.945,-0.2580000000000098,0.0,0
2025-01-02,73.82444444444445,0.8794444444444594,116.69333333333384,70
2025-01-16,78.695,4.870555555555541,584.4666666666649,340
2025-02-06,77.15933333333334,-1.535666666666657,-184.27999999999884,0
2025-02-19,75.38888888888889,-1.7704444444444505,-212.45333333333406,-170
2025-03-05,72.91399999999999,-2.4748888888888985,-296.9866666666678,-135
2025-03-19,70.11099999999999,-2.8029999999999973,-336.3599999999997,-280
2025-04-02,73.41,3.2990000000000066,395.8800000000008,230
2025-04-17,65.42545454545456,-7.98454545454544,-958.1454545454528,-480
2025-04-30,65.45125,0.025795454545445295,0.0,0
2025-05-19,63.545384615384606,-1.905865384615396,-225.60839160839407,-230
2025-06-03,64.32636363636362,0.780979020979018,93.71748251748215,65
2025-06-17,69.083,4.756636363636375,570.796363636365,260
2025-07-01,70.326,1.242999999999995,149.1599999999994,235
2025-07-15,69.305,-1.0209999999999866,-122.51999999999839,-130
2025-07-29,69.06499999999998,-0.2400000000000233,0.0,0
2025-08-12,68.45,-0.6149999999999807,-102.60000000000048,0
2025-08-26,66.63000000000001,-1.8199999999999932,-218.39999999999918,-180
2025-09-09,67.458,0.8279999999999887,99.35999999999865,0
2025-09-23,67.177,-0.2809999999999917,0.0,0
2025-10-13,66.16285714285716,-1.0141428571428435,-155.41714285714022,-75
2025-10-27,62.69,-3.4728571428571655,-416.74285714285986,-265
2025-11-10,64.33099999999999,1.6409999999999911,196.91999999999894,125
2025-11-24,63.45700000000001,-0.873999999999981,-104.87999999999772,-70
2025-12-08,62.99400000000001,-0.46300000000000097,-55.560000000000116,-55
2025-12-22,60.758,-2.236000000000004,-268.3200000000005,-170
2026-01-06,61.35888888888889,0.600888888888889,72.10666666666668,0
2026-01-20,63.645,2.2861111111111114,274.33333333333337,85
2026-02-03,66.953,3.308,396.96,205
2026-02-24,69.134,2.1809999999999974,261.7199999999997,175
2026-03-09,81.29777777777778,12.163777777777781,1459.6533333333336,695
2026-03-23,98.78399999999999,17.48622222222221,2098.3466666666654,1160
2026-04-07,108.33899999999998,9.554999999999993,1146.599999999999,420
2026-04-21,94.83900000000001,-13.499999999999972,-1619.9999999999966,-555
2026-05-08,106.72999999999999,11.890999999999977,1426.9199999999973,320
